Convencao;Instrumento;Compasso_1;Compasso_2;Compasso_3;Compasso_4;Duracao;Forca_Primeira_Nota
C6;Repique;pe.ta.la le -- | -- -- -- -- | pe.ta.la le -- | -- -- -- -- ;;;;;
C6;Fundo 1;-- -- -- -- | pe.ta.la le -- | -- -- -- -- | pe.ta.la le --;;;;;
C6;Fundo 2;-- -- -- -- | pe.ta.la le -- | -- -- -- -- | pe.ta.la le --;;;;;
C6;Xequerê;pe -- le -- | pe -- le -- | -- -- -- -- | -- -- -- --;;;;;
C7;Dobra;-- -- -- -- | -- -- le -- | -- -- le -- | -- -- le --;;;;;
C7;Fundo 1;-- -- -- -- | -- -- le -- | -- -- le -- | -- -- le --;;;;;
C7;Fundo 2;-- -- -- -- | -- -- le -- | -- -- le -- | -- -- le --;;;;;
C7;Caixa;pe te -- -- | pe te -- -- -- | pe te -- -- | pe te -- --;;;;;
C7;Repique;pe te -- -- | pe te -- -- -- | pe te -- -- | pe te -- --;;;;;
C7;Xequerê;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;;;;
Conv. Funk;Repique;-- -- le -- | pe -- le co | -- te le -- | pe -- -- --;;;;;
Conv. Funk;Caixa;-- -- le -- | pe -- le co | -- te le -- | pe -- -- --;;;;;
Conv. Funk;Xequerê;pe -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;;
Conv. Funk;Dobra;pe -- -- -- | -- -- -- -- | -- -- -- -- | -- -- le co;;;;;pe
Conv. Funk;Fundo 1;pe -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;;
Conv. Funk;Fundo 2;pe -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;;
Conv. Pagodão;Repique;-- -- -- -- | -- -- le -- | pe -- -- -- | -- -- -- --;;;;;
Conv. Pagodão;Caixa;-- -- -- -- | -- -- le -- | pe -- -- -- | -- -- -- --;;;;;
Conv. Pagodão;Xequerê;-- -- -- -- | -- -- le -- | pe -- -- -- | -- -- -- --;;;;;
Conv. Pagodão;Dobra;pe -- -- -- | -- -- -- -- | -- -- -- -- | pe -- -- --;;;;;pe
Conv. Pagodão;Fundo 1;pe -- -- -- | -- -- -- -- | -- -- -- -- | pe -- -- --;;;;;pe*
Conv. Pagodão;Fundo 2;pe -- -- -- | -- -- -- -- | -- -- -- -- | pe -- -- --;;;;;pe*
Conv. Swing;Repique;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;;
Conv. Swing;Caixa;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;;
Conv. Swing;Xequerê;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;;
Conv. Swing;Dobra;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;;
Conv. Swing;Fundo 1;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;;
Conv. Swing;Fundo 2;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;;
Forró 1;Dobra;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- -- --;;;;;
Forró 2;Dobra;-- te le -- | -- te le -- | -- -- -- -- | -- -- -- --;;;;;
Forró 3;Dobra;pe -- -- co | -- te -- -- | -- -- -- -- | -- -- -- --;;;;;
Conv. Alujá;Repique;pe ta la | -- ta la | pe -- la | pe -- --;;;;;
Conv. Alujá;Caixa;pe ta la | -- ta la | pe -- la | pe -- --;;;;;
Conv. Alujá;Xequerê;pe ta la | -- ta la | pe -- la | pe -- --;;;;;
Conv. Alujá;Dobra;pe ta la | -- ta la | pe -- la | pe -- --;;;;;
Conv. Alujá;Fundo 1;pe ta la | -- ta la | pe -- la | pe -- --;;;;;
Conv. Alujá;Fundo 2;pe ta la | -- ta la | pe -- la | pe -- --;;;;;
Conv. Galope CC;Repique;pe -- -- co | -- -- le --| -- -- le -- | pe -- -- --;;;;;
Conv. Galope CC;Caixa;pe -- -- co | -- -- le --| -- -- le -- | pe -- -- --;;;;;
Conv. Galope CC;Xequerê;pe -- -- co | -- -- le --| -- -- le -- | pe -- -- --;;;;;
Conv. Galope CC;Dobra;pe -- -- co | -- -- le --| -- -- le -- | pe -- -- --;;;;;
Conv. Galope CC;Fundo 1;pe -- -- co | -- -- le --| -- -- le -- | pe -- -- --;;;;;
Conv. Galope CC;Fundo 2;pe -- -- co | -- -- le --| -- -- le -- | pe -- -- --;;;;;
C5 - Pagodão;Repique;-- -- le -- | pe -- le -- | pe -- -- -- | pe.pe -- -- --;-- -- -- -- | -- -- -- -- | pe te le co | pe te le co;;;2;pe
C5 - Pagodão;Caixa;-- -- le -- | pe -- le -- | pe -- -- -- | pe.pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;2;
C5 - Pagodão;Xequerê;-- -- -- -- | -- -- -- -- | pe -- -- -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;2;
C5 - Pagodão;Dobra;pe -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe -- le -- | pe -- le -- | pe te le co | pe te le co;;;2;pe
C5 - Pagodão;Fundo 1;pe -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe -- le -- | pe -- le -- | pe te le co | pe te le co;;;2;pe
C5 - Pagodão;Fundo 2;pe -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe -- le -- | pe -- le -- | pe te le co | pe te le co;;;2;pe
Conv. Galope;Repique;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;-- -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;4;
Conv. Galope;Caixa;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;-- -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;4;
Conv. Galope;Xequerê;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;4;
Conv. Galope;Dobra;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;4;
Conv. Galope;Fundo 1;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;4;
Conv. Galope;Fundo 2;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | -- -- -- -- | -- -- le -- | pe -- -- --;-- -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;4;
Pausa;Repique;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;1;
Pausa;Caixa;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;1;
Pausa;Xequerê;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;1;
Pausa;Dobra;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;1;
Pausa;Fundo 1;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;1;
Pausa;Fundo 2;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;;;;1;
